title,stars,comment
"







  
    Excelente producto.
  
  
",5.0 out of 5 stars,"









  
    
  Buen producto como siempre, se ajusta a lo que prometen y nunca me defrauda, volveré a comprar seguro.

  
  
"
"







  
  
    NOT 10.1 oz
  
",1.0 out of 5 stars,"









  
  
    
  used about 1/4 of the spray can and the nozzle is now clogged.  I  have tried every thing to open it up but the best I can get is a small stream of droplets.

  
"
"







  
    Sensación refrescante y de hidratación
  
  
",5.0 out of 5 stars,"









  
    
  Excelente, el producto cumple con la expectativa a precio justo.

  
  
"
"







  
  
    Wouldn’t be without this.
  
",5.0 out of 5 stars,"









  
  
    
  I have tried many thermal waters, this is by far my favourite. I spray my face and body before moisturising. In very warm weather, it goes to bed with me, for a middle of the night spritz, if I wake feeling too hot. I buy the large, much more economical and last for ages.

  
"
"







  
  
    Good
  
",5.0 out of 5 stars,"









  
  
    
  refreshing

  
"
"







  
    Resultado no deseado
  
  
",3.0 out of 5 stars,"









  
    
  No noto mucha diferencia a rociarte agua con un ""flus-flus""

  
  
"
"







  
    Exelente
  
  
",5.0 out of 5 stars,"









  
    
  La humectacion que esperaba

  
  
"
"







  
    La suavidad que deja después de una ducha .. o después de maquillarte para salir
  
  
",4.0 out of 5 stars,"









  
    
  Para hidratar y calmar la piel

  
  
"
"







  
    Me encanto
  
  
",5.0 out of 5 stars,"









  
    
  Me encanto la frescura, la delicadeza de su gota y cumple con todos los beneficios del agua termal

  
  
"
"







  
    La mia acqua termale preferita!!
  
  
",4.0 out of 5 stars,"









  
    
  Spezione veloce e ottimo rapporto qualità prezzo! Non può mancare nella mia beauty routine!

  
  
"
"







  
    Util
  
  
",5.0 out of 5 stars,"









  
    
  Como siempre producto muy aconsejable en verano

  
  
"
"







  
  
    It’s broken
  
",4.0 out of 5 stars,
"







  
    Me gusta
  
  
",5.0 out of 5 stars,"









  
    
  Aún tengo poco tiempo utilizándolo, pero hasta ahora me ha parecido un buen producto

  
  
"
"







  
    Me encanto!!
  
  
",5.0 out of 5 stars,"









  
    
  Excelente producto, yo lo utilizo antes de mi suero dermallergo de la misma marca y me ha ayudado mucho con mi piel sensible.

  
  
"
"







  
  
    Not good value for money
  
",1.0 out of 5 stars,"









  
  
    
  I think this is Not a good value for money considering it is just pure water.If you look at the ingredient list. Water is the only ingredient.Okay, and this absolutely does nothing to my skin. I don't see how it soothes and protects my skin!!

  
"
"







  
  
    Not recommend - nozzle broken in just few days use
  
",1.0 out of 5 stars,"









  
  
    
  The nozzle broken after a couple of days use with the bottle still almost full empty - simply a waste of money.

  
"
"







  
  
    I love it
  
",5.0 out of 5 stars,"









  
  
    
  Great use for face

  
"
"







  
  
    Refreshing spray
  
",5.0 out of 5 stars,"









  
  
    
  I don’t have sensitive skin but no irritation at all

  
"
