title,stars,comment
"







  
    Muy recomendable!
  
  
",5.0 out of 5 stars,"









  
    
  Me encanta aplicarlo, es una grata sensación!

  
  
"
"







  
    LO USO PARA REFRESCAR MI MAQUILLAJE
  
  
",4.0 out of 5 stars,"









  
    
  Es la primera vez que lo uso, me ha gustado se siente refrescante y e deja una brisa ligera que no afecta el maquillaje, si no usas maquillaje tambien va ideal porque te refresca, si lo rcomiendo

  
  
"
"







  
  
    for sensitivity
  
",5.0 out of 5 stars,"









  
  
    
  Very good! I use it after washing my face for refresh my face. It protects my face when my skin goes sensitive.

  
"
"







  
    Si lo volvería a comprar
  
  
",5.0 out of 5 stars,"









  
    
  Me gusto mucho, deja la piel bien hidratada y fresca

  
  
"
"







  
  
    I didn’t know I needed this until I used it!
  
",5.0 out of 5 stars,"









  
  
    
  This is so refreshing! It’s a game changer for applying my serums and moisturizers!

  
"
"







  
    Agua refrescante
  
  
",3.0 out of 5 stars,"









  
    
  Va bien para refrescar en un momento determinado, en la piscina o después del gimnasio.

  
  
"
"







  
  
    It literally is just water
  
",1.0 out of 5 stars,"









  
  
    
  It does nothing to soften your face

  
"
"







  
    Toll
  
  
",5.0 out of 5 stars,"









  
    
  Einfach nur toll. Aus dem kuhlschrank... Benutze ich auch beim verstreichen des make ups. Toll

  
  
"
"







  
    Acqua termale la roche posay una garanzia!
  
  
",4.0 out of 5 stars,"









  
    
  È un tocca sana per la pelle al posto di utilizzare l’acqua calcarea per rinfrescare e detergere utilizzo questa gia da due mesi! I benefici sono evidenti e la sensazione che lascia sulla pelle è nettamente differente..

  
  
"
"







  
    Ottima
  
  
",5.0 out of 5 stars,"









  
    
  Acqua termale TOP ,ho aspettato un po per scrivere una ricensione...oggi ho provato un omaggio regalo in farmacia a base di acido ialuronico ho avuto subito una reazione strana pelle arrossita e bruciooooreeeeee mi sono lavata il viso e spruzzato l'acqua termale tamponando e suuubito la mia pelle è tornata alla normalità, senso di freschezza

  
  
"
"







  
    Excelente!!!!
  
  
",5.0 out of 5 stars,"









  
    
  Me encanta, es de lo mejor que hay.

  
  
"
"







  
    Ottima
  
  
",5.0 out of 5 stars,"









  
    
  Lascia il viso fresco e idratato

  
  
"
"







  
    Ottimo
  
  
",5.0 out of 5 stars,"









  
    
  Ottimo , sono una makeup artist e lo utilizzo sulle mie clienti prima del makeup.

  
  
"
"







  
    El agua termal no puede faltarme!
  
  
",5.0 out of 5 stars,"









  
    
  Siempre compro mi agua termal de La Roche Posay, no puede faltarme, lo considero el  producto facial aliado para la hidratación facial, para calmar mi piel, y para sentirme llena de minerales...que es lo que aporta. Ideal!!!

  
  
"
"







  
    Ottimo
  
  
",5.0 out of 5 stars,"









  
    
  Per rifrescare la pelle dopo l esposizione al sole e dopo la rasatura! Consiglio a pieni voti

  
  
"
"







  
    Súper
  
  
",5.0 out of 5 stars,"









  
    
  MeEncanta

  
  
"
"







  
  
    Bottle defected
  
",4.0 out of 5 stars,"









  
  
    
  Please, the  Thermal Water La Roche Posay is a wonderful product. But the bottle that I bought in September, 2020 has problem. It's impossible to use, because it does not spray the water, even it is almost full. Can you help me? Thanks,

  
"
"







  
  
    good
  
",5.0 out of 5 stars,"









  
  
    
  moisturizing my skin, I use it after cleansing

  
"
"







  
    Hidrata y refresca
  
  
",5.0 out of 5 stars,"









  
    
  Mi piel siempre a sido mixta pero las partes secas han sido muy marcadas, en el poco tiempo que la he usado siento que si a mejorado un poco la apariencia de mi piel, no a gran escala pero ya no es tan tirante o quebrada en las líneas

  
  
"
"







  
    Fantastica!
  
  
",5.0 out of 5 stars,"









  
    
  Elimina le impurità dal viso dopo una bella pulizia con acqua micellare. Consigliata!

  
  
"
"







  
    Sin más... Un spray de agua
  
  
",3.0 out of 5 stars,"









  
    
  Llevo una semana y pico usando este spray, anteriormente usabs el spray termal de babor... Sinceramente estoy súper decepcionada es como echarte agua en la cara, no noto nada.. No me calma la piel... Volveré a comprarme el de babor y a usar esto para refrescarme por las noches cuando llegue el verano.. No le veo más fuste..

  
  
"
"







  
    Por lo demás todo bien
  
  
",5.0 out of 5 stars,"









  
    
  Venía golpeado el frasco

  
  
"
"







  
    Hidratación Instantánea
  
  
",5.0 out of 5 stars,"









  
    
  Es una Excelente Agua Termal que Alivia la sequedad y fatiga facial.'

  
  
"
"







  
    Muy bueno
  
  
",5.0 out of 5 stars,"









  
    
  Me encanto lo acabé muy rápido pero valió la pena cada gota de agua !. Cómprate más .!

  
  
"
"







  
    Ottimo
  
  
",5.0 out of 5 stars,"









  
    
  Idratante freschezza e buon prezzo

  
  
"
"







  
    Freschezza
  
  
",4.0 out of 5 stars,"









  
    
  Utilizzata sempre l’acqua termale avenue, credo che sia leggermente superiore a questa della Roche che rimane comunque  ben confezionata e di ottima qualità

  
  
"
"







  
  
    👍🏼
  
",5.0 out of 5 stars,"









  
  
    
  👍🏼

  
"
"







  
    Refrescantemente hidratante!
  
  
",5.0 out of 5 stars,"









  
    
  Es refrescante y multiusos. El tamaño es fantástico porque dura mucho y el precio lo mejor.Amazon fenomenal como siempre.

  
  
"
"







  
    Acqua termale molto utile!
  
  
",4.0 out of 5 stars,"









  
    
  La uso al posto dell'acqua del rubinetto che contiene a parere mio troppo calcare.Per arrossamenti, post rasatura, o dopo il mare quest'acqua aiuta a dare sollievo.Non secca la pelle, molto fresca.Si può anche mettere in frigo per un effetto ancora più rinfrescante.Il contenitore è spray e abbastanza grande.Dura tranquillamente più di un mese o due se usato con parsimonia.

  
  
"
"







  
  
    Use to prevent flare up
  
",5.0 out of 5 stars,"









  
  
    
  This has saved my face from having rosacea flare ups so many times it’s worth it’s weight in gold!

  
"
"







  
  
    Well
  
",5.0 out of 5 stars,"









  
  
    
  Good

  
"
"







  
    No corresponde con la descripción
  
  
",5.0 out of 5 stars,"









  
    
  Descripción del producto pone 450 ml y el envase que me ha llegado es de 300 ml

  
  
"
"







  
    Es la gloria.
  
  
",5.0 out of 5 stars,"









  
    
  La verdad es que la compre para usarla después de ejercitarme y bañarme. He leído que tiene bastantes beneficios, yo al menos les puedo asegurar que es bastante refrescante, se puede usar como una alternativa para hidratar la piel e incluso contra quemaduras por el sol.

  
  
"
"







  
    Fa il suo dovere
  
  
",5.0 out of 5 stars,"









  
    
  Era un po' scettica su questo prodotto, ma mi sono incuriosita leggendo alcune recensioni, così l'ho comprato. Avendo una pelle molto secca, solo l'applicazione della crema non era più sufficiente per mantenerla sempre idratata, così, applicando questo prodotto sopratutto prima del trucco e la sera dopo essermi struccata, ho trovato miglioramenti. La pelle sembra molto più ""pulita"" e molto più morbida! La Roche Posay è sempre una garanzia. Consiglio.

  
  
"
"







  
  
    perfect
  
",5.0 out of 5 stars,"









  
  
    
  Always use it.

  
"
"







  
    La caja en la que pusieron el spray es demasiado chica.  La tapa llegó quebrada
  
  
",2.0 out of 5 stars,"









  
    
  Tapa rota por mal embalaje.

  
  
"
"







  
    El mejor
  
  
",5.0 out of 5 stars,"









  
    
  Mi favorito. Y dura mucho

  
  
"
"







  
    Geld verschwendung
  
  
",3.0 out of 5 stars,"









  
    
  Ich habe es schon benutz doch was es genau helfen soll oder bewirken soll versteh ich nocht schwitue genau so im sommer wie immer steh jetzt nur im kasten rum

  
  
"
"







  
    Excelente
  
  
",5.0 out of 5 stars,"









  
    
  Me encanta, es grande y resfresca mucho, lo uso todas las noches después de desmaquillarme y limpiar el rostro. Ademas no contiene ningun producto tóxico, muy bien valorado en la app yuka

  
  
"
"







  
    Super
  
  
",5.0 out of 5 stars,"









  
    
  Ist ein angenehmes Produkt und benutze es als Mann für mein Gesicht, nach der Reinigung und vor der Gesichtscreme. Meiner Haut tut das sehr gut!

  
  
"
"







  
    Me encanta
  
  
",5.0 out of 5 stars,"









  
    
  Amo este producto, ayuda mucho con las rojeces del rostro, te deja la piel más radiante y es un muy buen hidratante para pieles grasas si no quieres usar crema

  
  
"
"







  
    Boquilla defectuosa
  
  
",2.0 out of 5 stars,"









  
    
  Boquilla funciona mal sale a la vez difuminado y un chorro, por lo que tiene un mal uso y se gasta mucho antes

  
  
"
"







  
    ENOJADA!!
  
  
",1.0 out of 5 stars,"









  
    
  Mi producto llego mal! No se a donde me pueda comunicar, he comprado otras anteriormente y no se sienten así está, se siente vacía y no pesa nada el frasco al mover el líquido apenas y suena se siente ya usada

  
  
"
"







  
    Me gusta, pero no veo la diferencia entre avene y esta marca.
  
  
",4.0 out of 5 stars,"









  
    
  La compre en oferta, la uso todo el tiempo para mi rostro porque siento gran diferencia  a los toners, prefiero el agua termal. Tengo la piel muy sensible. Pero usando la avene que en precio es mucho mas baja las encuentro relativamente igual. Solo me gusto mas el tipo de roseo que tiene. Tengo meses usándola y creo que avene por precio es mejor.

  
  
"
"







  
    acqua termale
  
  
",5.0 out of 5 stars,"









  
    
  l'ho comprata per usarla come essence da mettere prima del siero viso. anche se non nasce per questo scopo fa il suo, sento che le creme penetrano meglio nella pelle.

  
  
"
"







  
    rinfrescante e idratante
  
  
",5.0 out of 5 stars,"









  
    
  contenitore molto grande, acqua termale che aiuta a mantenere l'idratazione anche in estate

  
  
"
"







  
    Mágico
  
  
",5.0 out of 5 stars,"









  
    
  Aparentemente no hace nada, sientes como si te mojaras con agua normal, pero la magia aparece días después. Te deja la piel súper suavecita. Tenía problemas de resequedad en el cuerpo, especialmente en las manos y con esto bye!!!! Alivia la comezón también y pues es básicamente una maravilla. Realmente lo recomiendo!

  
  
"
"







  
    Ottimo prodotto
  
  
",5.0 out of 5 stars,"









  
    
  Rapporto qualità prezzo assolutamente ottimo, tanto prodotto per un prezzo basso. Idrata e rinfresca e allevia gli arrossamenti

  
  
"
"







  
    Lo máximo y mejor precio que en tiendas
  
  
",5.0 out of 5 stars,"









  
    
  Nos gusta mucho, todos en la familia nos hemos visto beneficiados con ella

  
  
"
"







  
    Súper hidratante
  
  
",5.0 out of 5 stars,"









  
    
  Muy fresco

  
  
"
"







  
    OK
  
  
",5.0 out of 5 stars,"









  
    
  Buona

  
  
"
"







  
  
    Disgusting
  
",1.0 out of 5 stars,"









  
  
    
  It smelled like mold! Unfortunately I can’t return it and I’m stuck with it.I sprayed my face with it and was surprised by the smell. Then I sprayed a paper towel and sniffed the nozzle and it was the water. It’s so gross!

  
"
"







  
  
    Arrived looking used.
  
",1.0 out of 5 stars,"









  
  
    
  The product arrived dirty and dented all over can.There is no safety seal to assure me the way it arrived doesn’t mean it’s not safe to use. Feeling unsafe I tried to return it but the return policy doesn’t  allow me.

  
"
"







  
  
    Excellent product
  
",5.0 out of 5 stars,"









  
  
    
  Been using it for years !! I just love the feeling of fresh and moisturizing skin..

  
"
"







  
  
    Very good proc
  
",3.0 out of 5 stars,"









  
  
    
  Love this product to refresh me in the morning prior to putting make up on.

  
"
"







  
    Senza sigillo
  
  
",2.0 out of 5 stars,"









  
    
  Arrivato oggi. Consegnato 1 giorno prima del previsto. Non c’è il sigillo sul tappo e sembra metà vuoto 😐

  
  
"
"







  
    Non posso più farne a meno
  
  
",5.0 out of 5 stars,"









  
    
  La uso tutti i giorni

  
  
"
"







  
  
    Great for sensitive skin, burns, and irritated skin
  
",5.0 out of 5 stars,"









  
  
    
  Great for sensitive skin, burns, and irritated skin

  
"
"







  
  
    Continue to subscribe
  
",5.0 out of 5 stars,"









  
  
    
  A must have for winter! I keep one in my bedroom and whenever I feel dry on my skin I use it. I also use it before I use facial masks. My skin is pretty sensitive and it works really well on my skin. Also, Amazon has the cheapest price that I’m able to find. So I’ll continue to subscribe this item for sure!

  
"
"







  
    bueno
  
  
",5.0 out of 5 stars,"









  
    
  Hidratante

  
  
"
"







  
  
    SPRAY IS NOW NOT WORKING
  
",2.0 out of 5 stars,"









  
  
    
  AFTER USING ABOU1/3 OF THE CAN IT WILL NOT SPRAY.  No number or address for contact.  I liked it while it worked - will not buy again....

  
"
"







  
    Super Frischekick
  
  
",5.0 out of 5 stars,"









  
    
  Tolles Mineralwasserspray. Sehr feiner Sprühnebel.Super für heiße Tage. Ich benutze es gerne ganzjährig für Haut und Haare .

  
  
"
"







  
  
    Great product
  
",5.0 out of 5 stars,"









  
  
    
  Excellent quality and delivery. Trying so far so good

  
"
"







  
    Buono
  
  
",5.0 out of 5 stars,"









  
    
  Ordine arrivato in anticipo.Ottimo prodotto

  
  
"
"







  
    Sempre lei
  
  
",5.0 out of 5 stars,"









  
    
  Che dire la uso da anni ed è sempre la migliore fresca, idratante e calmante. Il getto è molto fine e micronizzato

  
  
"
"







  
  
    I like it
  
",5.0 out of 5 stars,"









  
  
    
  I love it. My son 9 years old likes it..

  
"
"







  
    Perfetto
  
  
",5.0 out of 5 stars,"









  
    
  La Roche posay non si smentisce mai, ottimo prodotto non mi aspettavo una bottiglia così grande ma buon per me

  
  
"
"







  
    Es perfecto...!!!
  
  
",5.0 out of 5 stars,"









  
    
  Es perfecto para la piel sensible, lo uso despues de mi limpieza facial y puedo usar luego cualquier producto sin preocupacion a irritaciones.

  
  
"
"







  
  
    Excelente!
  
",5.0 out of 5 stars,"









  
  
    
  Excelente producto

  
"
"







  
    Ottimo acquisto
  
  
",5.0 out of 5 stars,"









  
    
  Ho voluto provare questa acqua termale data la mia pelle sensibile e problematica ..forse è ancora troppo presto per vedere risultati positivi e definitivi  ma ormai la uso quotidianamente e mi piace  ..nessun odore nessun fastidio e si asciuga in fretta ..ricomprerò sicuramente

  
  
"
"







  
  
    Cap broken and spray has minor defect
  
",2.0 out of 5 stars,"









  
  
    
  Package arrived with cap broken, not sure if the spray part works longer

  
"
"







  
    Buon prodotto
  
  
",5.0 out of 5 stars,"









  
    
  Prodotto ottimo, non particolarmente profumato. Sicuramente non idratante.

  
  
"
"







  
    Calidad y buen producto
  
  
",5.0 out of 5 stars,"









  
    
  Calma las rojes en mi cara y la irritació cuando salgo de bañarme siento la cara estirada y al rosear idrata un poco y su olor no es malo es casi imperceptible  pero conel uso e notado mi piel distinta luce mejor

  
  
"
"







  
    Acqua termale
  
  
",5.0 out of 5 stars,"









  
    
  Perfetto

  
  
"
"







  
  
    Gentle for sensitive skin
  
",4.0 out of 5 stars,"









  
  
    
  It is good and easy to use!

  
"
"







  
  
    Nice spray, calm your skin
  
",4.0 out of 5 stars,"









  
  
    
  Very smooth and soothing. It is a bit less ""finer"" than the Evian spray though, but it can cool down and calm my skin very well.FYI; No scent at all, which I love.

  
"
"







  
    Excelente producto
  
  
",5.0 out of 5 stars,"









  
    
  Me ha ayudado mucho con mi rosácea

  
  
"
"







  
    ASCO ABSOLUTO...
  
  
",1.0 out of 5 stars,"









  
    
  Tal cual ...recibido por Seur, tapon roto y con pelo castaño largo, incluido.Me ha dado tal asco, que lo he desinfectado inmediatamente a fondo con alcohol.Es la primera vez, que recibo un producto en esta condiciones.Nada que añadir...

  
  
"
"







  
    Me gusto
  
  
",5.0 out of 5 stars,"









  
    
  Brinda  a mi piel la frescura que necesita

  
  
"
"







  
    Buona
  
  
",5.0 out of 5 stars,"









  
    
  Sembra che sia buona ma preferisco la crema

  
  
"
"







  
  
    less quality than usual
  
",1.0 out of 5 stars,"









  
  
    
  so 。less quality than usual

  
"
"







  
    Inutile e dal prezzo assai elevato.
  
  
",1.0 out of 5 stars,"









  
    
  È acqua costosa, nulla di più.

  
  
"
"







  
    Recomendado
  
  
",5.0 out of 5 stars,"









  
    
  10 de 10 lo vale

  
  
"
"







  
    Senza nulla di che
  
  
",3.0 out of 5 stars,"









  
    
  Sinceramente non ci trovo nulla di strano a quest’acqua. L’ho acquistata su parere del mio dermatologo ma non ci ho trovato nulla di speciale e la grande confezione l’ho trovata difficile da maneggiare con facilità.

  
  
"
"







  
    Agua thermal
  
  
",5.0 out of 5 stars,"









  
    
  Súper refrescante

  
  
"
"







  
    increíble
  
  
",5.0 out of 5 stars,"









  
    
  Me ayudo a calmar mi piel de una alergia que tuve y es muy refrescante, ayuda a refrescar tu maquillaje... me encanta

  
  
"
"







  
    MUY BUEN PRODUCTO
  
  
",5.0 out of 5 stars,"









  
    
  TE DEJA LA PIEL HIDRATADA Y SUAVE, YO LA USO ANTES Y DESPUES DEL MAQUILLAJE COMO FIJADOR

  
  
"
"







  
    Uso diario.
  
  
",5.0 out of 5 stars,"









  
    
  La uso al despertar y antes de dormir. Humecta la piel madura. Excelente producto.

  
  
"
"







  
  
    Quality
  
",5.0 out of 5 stars,"









  
  
    
  very goodquality priceI recommend because it moisturizes the skin very well. I will order more

  
"
"







  
  
    NOT able to return!!!
  
",1.0 out of 5 stars,"









  
  
    
  NOT able to return!!!

  
"
"







  
    Ottima
  
  
",4.0 out of 5 stars,"









  
    
  Adoro l’acqua termale soprattutto in estate!! Ottimo Rapporto qualità prezzo e inoltre  questa confezione così grande mi è durata davvero tanto!

  
  
"
"







  
    Bien
  
  
",4.0 out of 5 stars,"









  
    
  Humecta como debe ser. Complementa la limpieza

  
  
"
"







  
  
    Moisturize the skin before the cream
  
",5.0 out of 5 stars,"









  
  
    
  It's basically water inside the can, but I really love it. I usually use it after the outdoor running. It works pretty well.

  
"
"







  
  
    Good for skencare
  
",4.0 out of 5 stars,"









  
  
    
  I use it almost every day, it does well in moisture for your skin, and that is about it, so if you need to wear make up, it would be a good choice beforehand. The spray sometimes gets a little stucky, you have to press really hard.

  
"
"







  
  
    Works well
  
",5.0 out of 5 stars,"









  
  
    
  Feels really refreshing on the skin, really good product for hidratación and refreshing

  
"
"







  
  
    no seal, not full
  
",1.0 out of 5 stars,"









  
  
    
  Came without a seal wrapped around the cap, the can is still 3/4 full 

  
"
"







  
  
    I am happy I got this product
  
",5.0 out of 5 stars,"









  
  
    
  It’s a great product I love it

  
"
"







  
  
    Moist skin easily
  
",5.0 out of 5 stars,"









  
  
    
  Love it! No scent, very moisturizing, and easy to use.

  
"
"







  
    piacevole
  
  
",4.0 out of 5 stars,"









  
    
  utile

  
  
"
"







  
  
    Surprisingly Wonderful!
  
",5.0 out of 5 stars,"









  
  
    
  Is this overpriced canned water? Yep. Do you need it? Not at all. But does it work? YES. I heard from a dermatologist there is actual evidence supporting the efficacy of thermal spring water for skin health, so I decided to buy this on a whim. I initially felt so silly buying water in a can, but I am SO glad I did. This has been so soothing for my sensitive skin! I like to apply my serums and moisturizer to wet skin, so I spray this on after washing my face, and apply my moisturizer while my face is still wet. This has been also great for cooling my skin when I get flushing from my rosacea during the day. No one needs this, but if you can swing $18 for a can of fancy water, you will not be disappointed!

  
"
"







  
    Thermalspray
  
  
",5.0 out of 5 stars,"









  
    
  ein feiner Sprühnebel vom Thermalwasser auf der Haut, half dabei, dass die Haut sich schnellstens beruhigt. Feuchtigkeit war der Haut gegeben, eintrocknen lassen und der Juckreiz war weg. Immer zu empfehlen, gerade in dieser heißen Sommerzeit, wo die Haut gereizt ist.

  
  
"
"







  
  
    No Security
  
",1.0 out of 5 stars,"









  
  
    
  Came without a seal wrapped around the cap, so I don’t know how safe and genuine this product is. I want my money back or the product sealed! 300 ml is not complete

  
"
"







  
  
    Love this!!!
  
",5.0 out of 5 stars,"









  
  
    
  I love this spring water so so much. You can spray it on your skin anytime without any irritation at all!! I definitely will buy it again. Highly recommend it for everyone!

  
"
"







  
    Bien
  
  
",5.0 out of 5 stars,"









  
    
  Va bien, hace su función antes de la rutina de crema y refresca. Llego en la fecha prevista.

  
  
"
"







  
    Buen producto
  
  
",5.0 out of 5 stars,"









  
    
  Buen producto

  
  
"
"







  
    Me encanta
  
  
",5.0 out of 5 stars,"









  
    
  Me encantó este producto, siento muy fresca mi piel después de aplicarlo, y me ha ayudado a calmar la picazón en el rostro.

  
  
"
"







  
  
    Salty
  
",1.0 out of 5 stars,"









  
  
    
  Salty: dried my skin out

  
"
"







  
    usato giornalmente viso
  
  
",5.0 out of 5 stars,"









  
    
  nulla da eccepire mi piace

  
  
"
"







  
  
    Great Product & Size!
  
",5.0 out of 5 stars,"









  
  
    
  Product is very soothing & Love the size!

  
"
"







  
  
    Great product for rosacea!
  
",5.0 out of 5 stars,"









  
  
    
  I have rosacea, therefore I have sensitive skin. This is my 1st time purchasing La Roche-Posay's Thermal Spring Water for Sensitive Skin. When you have rosacea you learn what your triggers are. Heat is one of my triggers. This spray is fabulous! It is a fine mist. A quick couple of spritzes and my skin feels cooler and a lot less irritated. It is now my favorite La Roche-Posay product! I highly recommend anyone with rosacea to give this product a try. Amazon does sell this product at a higher price. It is approximately $2 more on Amazon than it is on the company's website for the same size bottle.

  
"
"







  
    Meravigliosa!
  
  
",5.0 out of 5 stars,"









  
    
  Mi piace tantissimo e la ricompro sempre. Super consigliato!

  
  
"
"







  
  
    Recommend!
  
",5.0 out of 5 stars,"









  
  
    
  Good!

  
"
"







  
    Me encanto
  
  
",5.0 out of 5 stars,"









  
    
  Me encanto

  
  
"
"







  
    No sirve de  toner pero si para irritaciones
  
  
",3.0 out of 5 stars,"









  
    
  Si calma la piel después de las irritaciones y te da una sensación fresca pero eso es todo, no obtuve ningún otro beneficio, no la volveré a comprar, quize sustituir mi tóner con esto y fue pésima idea, ahora mi cara está llena de granitos, así que regreso al toner.

  
  
"
"







  
    Me encanta
  
  
",5.0 out of 5 stars,"









  
    
  Lo mejor que he encontrado en mucho tiempo  y calmante para pieles sensibles , es perfecto , de uso diario muy satisfactorio.

  
  
"
"







  
    👍
  
  
",5.0 out of 5 stars,"









  
    
  Prodotto Perfetto

  
  
"
"







  
    Excelente producto!!!
  
  
",5.0 out of 5 stars,"









  
    
  Excelente producto, es la mejor agua termal que existe en el mercado. Lo recomiendo ampliamente.

  
  
"
"







  
  
    Using everyday
  
",5.0 out of 5 stars,"









  
  
    
  My dry skin can’t leave it ~~

  
"
"







  
    muy buen producto muy recomendable
  
  
",4.0 out of 5 stars,"









  
    
  muy buen producto si lo que estás buscando es refrescar e hidratar la piel. la sensación que deja es riquísimo, no necesitas tener un problema de resequedad o alergia para usarlo es para cualquier tipo de piel.

  
  
"
"







  
    Rinfrescante
  
  
",5.0 out of 5 stars,"









  
    
  Ottimo prodotto!!!

  
  
"
"







  
  
    How come the product come without being sealed?
  
",1.0 out of 5 stars,"









  
  
    
  I just got my order and it's clearly less than 300ml and it's not sealed. How come has a product come without being sealed? For me, it seems that it's already used and I'd like to have my money back or replaced item properly sealed.

  
"
"







  
    Non adatto per pelli secche e intolleranti
  
  
",3.0 out of 5 stars,"









  
    
  Il prodotto si presenta come nebulizzatore sotto pressione , rinfrescante ma non idratante, su pelli delicate e intolleranti non funziona, si ha un effetto astringente.

  
  
"
"







  
  
    Calms skin but mist spray isn't fine enough
  
",3.0 out of 5 stars,"









  
  
    
  It calms skin irritation and lightly refreshes instantly. but it doesn't provide hydration or moisture in long run. it's not a sub of softener or toner, so i don't think it's price friendly at some points. Also at this price point, I wish the mist spray can be better, it isn't fine enough compares to the Avene's bottle.

  
"
"







  
  
    The product seems to be used
  
",3.0 out of 5 stars,"









  
  
    
  There is no wrap for the product. And it's not filled with liquid. I think the product has been used.

  
"
"







  
    Al tiempo justo!
  
  
",5.0 out of 5 stars,"









  
    
  Fresco y sin frangancia! Me encanta

  
  
"
"







  
    Super recomendado
  
  
",5.0 out of 5 stars,"









  
    
  Es excelente para refrescar, ayuda mucho a la piel, recomendado por mi dermatóloga lo usa hasta mi niña para limpiarse alguna herida o raspon

  
  
"
"







  
    Mi piace
  
  
",5.0 out of 5 stars,"









  
    
  Mi piace

  
  
"
"







  
    .
  
  
",5.0 out of 5 stars,"









  
    
  Muy econômico

  
  
"
"







  
  
    best product ever
  
",5.0 out of 5 stars,"









  
  
    
  hidrates my skin so nicely give me that glow as i have a dry skin.check this link and buy dont waste time.https://www.amazon.com/dp/B000V3O732/ref=as_sl_pc_tf_til?tag=nilze2020-20&linkCode=w00&linkId=b3c8fceb8cea322a50e015769fa76f80&creativeASIN=B000V3O732

  
"
"







  
  
    Good product for sensitive skin.I have a very very sensitive skin, but it is good for me.
  
",5.0 out of 5 stars,"









  
  
    
  Amazing things!It is delivered so soon as I expect.

  
"
"







  
  
    Not as expected
  
",1.0 out of 5 stars,"









  
  
    
  Doesnt work for myself

  
"
"







  
    Recomendable
  
  
",5.0 out of 5 stars,"









  
    
  Me gusta mucho lo utilizo cuando tengo la piel irritada, esto me calma el ardor

  
  
"
"







  
    Es como agua.
  
  
",3.0 out of 5 stars,"









  
    
  Pues no hay diferencia. Es como si me pusiera agua sobre la cara.

  
  
"
"







  
  
    Destroyed in transit
  
",1.0 out of 5 stars,"









  
  
    
  Love this product but very disappointed to have received it damaged and not working (top won’t spray when pressed down) after spending $18 and It doesn’t give me the option to replace or cancel the order*UPDATE*Just received ANOTHER defective spray top and I still can’t return it. Not spending my money on this product anymore

  
"
"







  
  
    Spray
  
",5.0 out of 5 stars,"









  
  
    
  Very hydrating! I absolutely love this when I need a little moisture and it doesn’t irritate my skin!!

  
"
"







  
  
    Atomizer defective
  
",3.0 out of 5 stars,"









  
  
    
  I ordered two.  One was banged up in the delivery.  I tried to replace it but the option wasn’t available on Amazon.  The atomizer stopped working half-way through the bottle and now I have to throw it away while still half-full.  This is ridiculous.  Half of a nice product (and it isn’t cheap) has to go to waste because the atomizer isn’t working any more.  Ridiculous.  Amazon should replace this for me.

  
"
"







  
  
    I will buy again!
  
",5.0 out of 5 stars,"









  
  
    
  I have ridiculously sensitive skin and this product is amazing.Will buy again!

  
"
"







  
    Excelente, lo volveré a comprar
  
  
",5.0 out of 5 stars,"









  
    
  Debo ir por el 3er o 4to bote de esta agua termal. Me encanta, hidrata bien la piel y la refresca. Tengo piel grasa y ayuda a qué no se produzca tanto sebo en mi carita, acostumbro usarlo antes de un sérum o crema hidratante. A veces a capas entre las propias capas del maquillaje y para finalizarlo, ayuda a que la piel se vea más como piel considerando que uso muchos productos matificantes y hace que se vea más natural y que dure un poco más

  
  
"
"







  
    Bueno
  
  
",5.0 out of 5 stars,"









  
    
  Fue un regalo, pero ya lo había probado. Me gustó.

  
  
"
"







  
    100% recomendable
  
  
",5.0 out of 5 stars,"









  
    
  Excelente opción para refrescar la piel sobretodo después del afeitado

  
  
"
"







  
  
    Sprayer stopped working
  
",3.0 out of 5 stars,"









  
  
    
  Good product, that I really enjoyed using.However, the sprayer stopped working white the bottle was almost full, leaving me with an almost new product that I can't even use.

  
"
"







  
    Enamorada de este producto water thermal
  
  
",5.0 out of 5 stars,"









  
    
  Excelente para pieles sensibles

  
  
"
"







  
    Muy bien
  
  
",5.0 out of 5 stars,"









  
    
  Muy refrescante

  
  
"
"







  
  
    Excellent!
  
",5.0 out of 5 stars,"









  
  
    
  After peeling is perfect.

  
"
"







  
  
    Hydrating spray
  
",5.0 out of 5 stars,"









  
  
    
  Great hydrating spray

  
"
"







  
  
    Spray doest work
  
",2.0 out of 5 stars,"


















    
        

        
        

        
            
            
                
                        
                
                
                    The media could not be loaded.
                
            
                
            
        
    
    










  
  
    
   Doesn't work! I've been using La Roche Thermal Water for 5 years and this never happened to me - after few uses, the water leaked and the spray doesn't work!! It was first time I ordered it online here - but never again.

  
"
"







  
  
    love this product
  
",5.0 out of 5 stars,"









  
  
    
  Great product for hydrating dry, itchy and sensitive skin. I usually use this after a shower to rehydrate my skin since I typically shower with warm to hot water, especially during winter months. Price point is very affordable, though I like to compare Amazon's offer with Target's to see who is selling it cheaper at the time of buying. I have purchased this product a handful of times and will continue to buy and use this. Definitely recommend if you feel like you need something like this. Thank you!

  
"
